procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 3  0      0 3354312  27316 205828    0    0    22   311  608 1527 57 40  3  0  0 2019-10-29 01:30:22
 3  0      0 3361756  27316 205844    0    0     0     2  278  306 57 43  0  0  0 2019-10-29 01:30:27
 3  0      0 3361780  27324 205844    0    0     0    10  277  298 55 45  0  0  0 2019-10-29 01:30:32
 4  0      0 3363648  27332 205836    0    0     0     2  276  296 57 43  0  0  0 2019-10-29 01:30:37
 3  0      0 3363656  27340 205840    0    0     0    19  275  294 57 43  0  0  0 2019-10-29 01:30:42
 3  0      0 3363664  27340 205840    0    0     0     0  275  294 57 43  0  0  0 2019-10-29 01:30:47
 3  0      0 3363672  27348 205836    0    0     0     4  275  294 55 45  0  0  0 2019-10-29 01:30:52
 3  0      0 3363672  27356 205840    0    0     0    16  277  297 54 46  0  0  0 2019-10-29 01:30:57
 3  0      0 3363672  27364 205840    0    0     0     4  275  295 55 45  0  0  0 2019-10-29 01:31:02
 3  0      0 3363672  27364 205840    0    0     0     6  275  293 57 43  0  0  0 2019-10-29 01:31:07
 3  0      0 3363680  27372 205832    0    0     0     2  276  298 58 42  0  0  0 2019-10-29 01:31:12
 3  0      0 3363920  27380 205832    0    0     0     2  278  320 56 44  0  0  0 2019-10-29 01:31:17
 3  0      0 3363928  27388 205828    0    0     0     7  275  294 55 45  0  0  0 2019-10-29 01:31:22
 3  0      0 3363944  27396 205828    0    0     0     2  275  297 56 44  0  0  0 2019-10-29 01:31:27
 3  0      0 3363960  27396 205828    0    0     0     0  277  296 57 43  0  0  0 2019-10-29 01:31:32
 3  0      0 3363836  27404 205836    0    0     0     6  278  302 57 43  0  0  0 2019-10-29 01:31:37
 3  0      0 3363752  27412 205836    0    0     0    10  276  297 56 44  0  0  0 2019-10-29 01:31:42
 3  0      0 3363760  27420 205840    0    0     0     5  275  297 55 45  0  0  0 2019-10-29 01:31:47
 3  0      0 3363884  27420 205836    0    0     0     0  274  292 54 46  0  0  0 2019-10-29 01:31:52
 3  0      0 3363884  27428 205832    0    0     0     2  275  295 55 45  0  0  0 2019-10-29 01:31:57
 5  0      0 3363884  27436 205832    0    0     0     2  276  296 56 44  0  0  0 2019-10-29 01:32:02
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 3  0      0 3363884  27444 205832    0    0     0     2  275  297 56 44  0  0  0 2019-10-29 01:32:07
 3  0      0 3363884  27444 205836    0    0     0     2  275  295 56 44  0  0  0 2019-10-29 01:32:12
 3  0      0 3363884  27452 205836    0    0     0     3  276  298 55 45  0  0  0 2019-10-29 01:32:17
 3  0      0 3363884  27460 205836    0    0     0     6  276  295 56 44  0  0  0 2019-10-29 01:32:22
 3  0      0 3363852  27468 205832    0    0     0     7  277  322 52 48  0  0  0 2019-10-29 01:32:27
 3  0      0 3363860  27476 205832    0    0     0     2  277  297 55 45  0  0  0 2019-10-29 01:32:32
 3  0      0 3363868  27476 205832    0    0     0     0  274  293 57 43  0  0  0 2019-10-29 01:32:37
 3  0      0 3363752  27484 205836    0    0     0     5  275  294 55 45  0  0  0 2019-10-29 01:32:42
 3  0      0 3363876  27492 205836    0    0     0     2  278  302 57 43  0  0  0 2019-10-29 01:32:47
 3  0      0 3363916  27500 205836    0    0     0     8  275  295 58 42  0  0  0 2019-10-29 01:32:52
 4  0      0 3355404  27508 205984    0    0     0     7  276  377 57 43  0  0  0 2019-10-29 01:32:57
 5  0      0 3333044  27516 205984    0    0     0    17  293  507 56 44  0  0  0 2019-10-29 01:33:02
 4  0      0 3318660  27516 205984    0    0     0     0  295  440 58 42  0  0  0 2019-10-29 01:33:07
 4  0      0 3309608  27524 205988    0    0     0     6  297  455 54 46  0  0  0 2019-10-29 01:33:12
 4  0      0 3303408  27532 205988    0    0     0     3  296  444 59 41  0  0  0 2019-10-29 01:33:17
 6  0      0 3299168  27540 206016    0    0     0     2  295  562 58 42  0  0  0 2019-10-29 01:33:22
 4  0      0 3292100  27548 206012    0    0     0    22  296  398 60 40  0  0  0 2019-10-29 01:33:27
 4  0      0 3271152  27548 206004    0    0     0    10  300  635 56 44  0  0  0 2019-10-29 01:33:32
 4  0      0 3249428  27556 206004    0    0     0     6  299  514 60 40  0  0  0 2019-10-29 01:33:37
 6  0      0 3235912  27564 205996    0    0     0    14  299  435 57 43  0  0  0 2019-10-29 01:33:42
 3  0      0 3216336  27572 205996    0    0     0     6  301  397 56 44  0  0  0 2019-10-29 01:33:47
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 3  0      0 3216460  27580 205992    0    0     0     2  298  332 59 41  0  0  0 2019-10-29 01:33:52
 3  0      0 3216460  27588 205988    0    0     0     2  298  332 57 43  0  0  0 2019-10-29 01:33:57
 3  0      0 3216296  27588 206000    0    0     0    16  304  359 55 45  0  0  0 2019-10-29 01:34:02
 3  0      0 3217700  27596 205992    0    0     0     3  299  332 54 46  0  0  0 2019-10-29 01:34:07
 3  0      0 3217700  27604 205992    0    0     0    12  301  334 55 45  0  0  0 2019-10-29 01:34:12
 3  0      0 3217700  27612 205992    0    0     0     2  300  332 57 43  0  0  0 2019-10-29 01:34:17
 3  0      0 3217732  27612 205992    0    0     0     0  298  331 56 44  0  0  0 2019-10-29 01:34:22
 3  0      0 3217740  27620 205988    0    0     0     2  299  331 56 44  0  0  0 2019-10-29 01:34:27
 3  0      0 3217740  27628 205988    0    0     0     2  302  337 57 43  0  0  0 2019-10-29 01:34:32
 3  0      0 3217748  27636 205992    0    0     0     2  298  332 58 42  0  0  0 2019-10-29 01:34:37
 3  0      0 3217872  27636 205996    0    0     0     7  299  331 58 42  0  0  0 2019-10-29 01:34:42
 3  0      0 3217732  27644 206004    0    0     0     5  302  353 56 44  0  0  0 2019-10-29 01:34:47
 3  0      0 3217764  27652 206000    0    0     0     9  299  333 52 48  0  0  0 2019-10-29 01:34:52
 3  0      0 3217772  27660 205996    0    0     0     2  299  332 54 46  0  0  0 2019-10-29 01:34:57
 4  0      0 3217532  27668 205996    0    0     0     2  300  348 55 45  0  0  0 2019-10-29 01:35:02
 5  0      0 3151408  27676 261212    0    0     0    42  710 3295 60 40  0  0  0 2019-10-29 01:35:07
 4  0      0 3014208  27684 393660    0    0     0 24236  840 3729 53 47  0  0  0 2019-10-29 01:35:12
 5  0      0 2935524  27692 453604    0    0     0     5  302  466 56 44  0  0  0 2019-10-29 01:35:17
